max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk
5809.0916,0.1427,1.0049,0.2329,0.5365,9.9643,2385.1409,0.2863,1.3622,0.2653,36.8286,1242.8033,2.883788129,0.655,0.7,4.93,0.3,6.50298,12.33581
5747.8806,0.1417,1.0032,0.2378,0.5824,10.2546,2464.0207,0.2742,1.4426,0.2698,36.6865,1241.278,3.759531564,0.669,0.7,5.022,0.3,7.24136,13.54005
5747.5431,0.1417,1.0037,0.2329,0.5606,10.2654,2406.5358,0.2742,1.4426,0.2359,36.8289,1241.2297,2.272619517,0.852,0.85,4.554,0.55,16.20556,23.62019
5747.7929,0.1426,1.0112,0.2385,0.5824,10.2483,2380.9704,0.2741,1.4273,0.242,36.6736,1240.9947,2.258207488,0.692,0.75,4.538,0.35,10.20218,17.27575
5745.0764,0.1416,1.0032,0.2329,0.56,10.2495,2426.0418,0.2778,1.4424,0.2674,36.6904,1241.2509,2.293001959,0.986,0.9,4.037,0.55,8.82349,13.12293
5669.8069,0.1416,1.0032,0.2217,0.549,10.2443,2425.4714,0.2656,1.4425,0.2674,36.6874,1241.5422,1.569055684,0.855,0.85,4.559,0.55,15.71322,22.96303
5747.929,0.142,1.0044,0.2377,0.5824,10.2443,2459.8183,0.2765,1.4452,0.2677,36.4477,1241.3643,1.719718992,0.602,0.65,4.953,0.25,4.94392,10.35034
5826.534,0.1399,1.0048,0.2413,0.537,10.0704,2425.9473,0.2898,1.3601,0.265,36.6748,1241.3044,1.585169948,0.858,0.85,4.345,0.45,15.58239,22.49693
5744.9881,0.1416,1.0032,0.2329,0.5606,10.2495,2426.0418,0.2742,1.4425,0.2673,36.6863,1241.2509,3.319778734,0.771,0.8,4.783,0.35,10.70024,16.84313
5811.2767,0.1427,1.0049,0.2321,0.5365,9.9643,2385.1409,0.2723,1.3622,0.2653,36.8286,1242.8033,1.606999753,0.805,0.8,4.423,0.45,17.3107,26.53919
5747.9146,0.1424,1.0112,0.2408,0.5829,10.2483,2380.9704,0.3101,1.4351,0.242,36.6736,1253.9992,1.65899623,0.663,0.7,5.035,0.25,6.8089,12.66757
5747.7273,0.1397,1.0044,0.2408,0.5827,10.2484,2464.6824,0.2752,1.4399,0.2674,36.9064,1256.8346,1.673843759,0.649,0.7,5.053,0.3,7.20087,13.48359
